Wall time,Step,Value
1651558208.36992,250,0.8703584671020508
1651558214.40756,300,0.9907208681106567
1651558236.878586,500,0.7817274332046509
1651558242.270673,550,0.6773644089698792
1651558254.342391,650,0.7814750075340271
1651558261.195719,700,0.7343651056289673
1651558266.887233,750,0.6295919418334961
1651558278.243936,850,0.6590616703033447
1651558284.816781,900,0.805042564868927
1651558289.464031,950,0.7073995471000671
1651558295.680408,1000,0.6435794830322266
1651558320.187728,1200,0.6708379983901978
1651558370.961386,1650,0.7974145412445068
1651558376.962126,1700,0.7520313262939453
1651558387.592141,1800,0.9876891374588013
1651558403.670992,1950,0.9017805457115173
1651558410.324826,2000,0.6591480374336243
1651558422.596229,2100,0.6907565593719482
1651558434.210007,2200,0.8348497748374939
1651558439.264181,2250,0.7523025274276733
1651558451.948625,2350,0.7601740956306458
1651558464.191477,2450,0.8254531025886536
1651558470.028676,2500,0.787094235420227
1651558488.521782,2650,0.737167239189148
1651558494.892591,2700,0.7708607316017151
1651558500.973321,2750,0.6026363372802734
1651558507.564015,2800,0.6918240785598755
1651558512.94839,2850,0.7369444370269775
1651558531.95468,3000,0.6455091238021851
1651558538.14943,3050,0.5527943968772888
1651558551.622171,3150,0.632649302482605
1651558563.658473,3250,0.6024069786071777
1651558570.414352,3300,0.6085445284843445
1651558575.952705,3350,0.6109955906867981
1651558582.253525,3400,0.8050244450569153
1651558600.020457,3550,0.7489610910415649
1651558606.784521,3600,0.6510166525840759
1651558613.033902,3650,0.6735852956771851
1651558619.900959,3700,0.6455976366996765
1651558633.315165,3800,0.5984895825386047
1651558651.657978,3950,0.5234031677246094
1651558684.173326,4200,0.6855870485305786
1651558690.191697,4250,0.5981335639953613
1651558696.568423,4300,0.5540998578071594
1651558702.974011,4350,0.44788792729377747
1651558710.332175,4400,0.491788774728775
1651558716.805462,4450,0.5363611578941345
1651558750.22769,4700,0.4585445523262024
1651558801.923861,5100,0.5472529530525208
1651558822.45171,5250,0.468207448720932
1651558829.052395,5300,0.5507898926734924
1651558872.528643,5650,0.4124903976917267
1651558892.652513,5800,0.5617855191230774
1651558903.638024,5900,0.6437780857086182
1651558910.318633,5950,0.537880003452301
1651558916.542048,6000,0.5058695077896118
1651558941.06744,6200,0.5079948306083679
1651558946.612498,6250,0.4682846963405609
1651558954.790282,6300,0.42699286341667175
1651558975.404568,6450,0.5360038876533508
1651558983.005441,6500,0.49168145656585693
1651559001.856322,6650,0.6805976033210754
1651559028.234981,6850,0.49319779872894287
1651559041.498701,6950,0.5284954309463501
1651559054.240942,7050,0.5479707717895508
1651559060.732474,7100,0.5259899497032166
1651559067.019651,7150,0.5168461203575134
1651559073.985879,7200,0.40312695503234863
1651559097.495582,7400,0.5164698362350464
1651559109.718735,7500,0.6294165849685669
1651559129.288165,7650,0.5539703965187073
1651559135.646613,7700,0.5635212063789368
