Wall time,Step,Value
1651558208.369928,250,277.0
1651558214.407566,300,289.0
1651558236.878793,500,302.6666564941406
1651558242.270879,550,297.3333435058594
1651558254.3424,650,301.6666564941406
1651558261.195725,700,396.0
1651558266.887241,750,309.0
1651558278.243944,850,321.3333435058594
1651558284.816787,900,321.0
1651558289.464062,950,271.0
1651558295.680454,1000,303.3333435058594
1651558320.187737,1200,299.0
1651558370.961701,1650,356.0
1651558376.962134,1700,320.0
1651558387.592167,1800,273.6666564941406
1651558403.671205,1950,262.3333435058594
1651558410.324866,2000,354.6666564941406
1651558422.596236,2100,327.0
1651558434.210022,2200,331.3333435058594
1651558439.264206,2250,285.6666564941406
1651558451.948635,2350,410.0
1651558464.191516,2450,364.0
1651558470.028683,2500,333.3333435058594
1651558488.521789,2650,418.3333435058594
1651558494.892601,2700,314.0
1651558500.973328,2750,367.6666564941406
1651558507.564035,2800,394.3333435058594
1651558512.948425,2850,294.0
1651558531.954722,3000,373.3333435058594
1651558538.149465,3050,377.0
1651558551.622187,3150,458.0
1651558563.658519,3250,334.0
1651558570.41436,3300,328.3333435058594
1651558575.952738,3350,364.0
1651558582.253531,3400,340.0
1651558600.020465,3550,312.0
1651558606.784534,3600,364.6666564941406
1651558613.033911,3650,439.6666564941406
1651558619.901169,3700,370.3333435058594
1651558633.315177,3800,373.6666564941406
1651558651.658028,3950,410.0
1651558684.173362,4200,346.0
1651558690.191972,4250,378.3333435058594
1651558696.568442,4300,364.6666564941406
1651558702.974068,4350,430.6666564941406
1651558710.332463,4400,457.3333435058594
1651558716.805469,4450,456.0
1651558750.227697,4700,450.0
1651558801.92405,5100,359.3333435058594
1651558822.451718,5250,560.3333129882812
1651558829.052415,5300,356.6666564941406
1651558872.528697,5650,327.3333435058594
1651558892.652526,5800,569.0
1651558903.638032,5900,285.3333435058594
1651558910.318641,5950,509.3333435058594
1651558916.542082,6000,359.3333435058594
1651558941.067495,6200,319.6666564941406
1651558946.612544,6250,370.3333435058594
1651558954.790322,6300,596.3333129882812
1651558975.404611,6450,516.0
1651558983.005448,6500,573.6666870117188
1651559001.856353,6650,396.0
1651559028.235026,6850,476.0
1651559041.498991,6950,514.0
1651559054.240948,7050,393.3333435058594
1651559060.732485,7100,308.6666564941406
1651559067.019656,7150,401.6666564941406
1651559073.985892,7200,408.0
1651559097.495776,7400,387.3333435058594
1651559109.71879,7500,425.0
1651559129.288205,7650,536.0
1651559135.646645,7700,341.3333435058594
1651559141.422561,7750,481.0
1651559154.712394,7850,419.6666564941406
1651559161.20813,7900,367.6666564941406
1651559167.907309,7950,568.3333129882812
1651559186.901611,8100,348.3333435058594
1651559201.132066,8200,546.6666870117188
1651559207.17636,8250,408.6666564941406
1651559222.260157,8350,620.6666870117188
1651559229.475166,8400,413.6666564941406
1651559248.361939,8550,534.0
1651559282.379508,8800,391.0
1651559289.532865,8850,741.3333129882812
1651559296.127428,8900,383.3333435058594
1651559308.672156,9000,476.0
1651559313.793241,9050,312.0
1651559326.709779,9150,376.6666564941406
1651559339.086866,9250,335.6666564941406
1651559345.957372,9300,535.3333129882812
1651559351.399164,9350,372.6666564941406
1651559358.213644,9400,419.6666564941406
1651559370.549561,9500,383.6666564941406
1651559376.524731,9550,464.3333435058594
1651559420.556672,9900,504.0
1651559445.017374,10100,407.0
