Epoch,Time,Score,Lines Cleared
0,65.0,0.0,0.0
50,198.0,0.0,0.0
100,250.66666666666666,0.0,0.0
150,271.0,0.0,0.0
200,284.3333333333333,0.0,0.0
250,277.0,0.0,0.0
300,289.0,0.0,0.0
350,295.0,0.0,0.0
400,274.0,0.0,0.0
450,274.3333333333333,0.0,0.0
500,302.6666666666667,0.0,0.0
550,297.3333333333333,0.0,0.0
600,319.3333333333333,0.0,0.0
650,301.6666666666667,0.0,0.0
700,329.3333333333333,0.6666666666666666,0.6666666666666666
750,309.0,0.0,0.0
800,301.6666666666667,0.0,0.0
850,288.0,0.3333333333333333,0.3333333333333333
900,321.0,0.0,0.0
950,271.0,0.0,0.0
1000,303.3333333333333,0.0,0.0
1050,302.0,0.0,0.0
1100,319.0,0.3333333333333333,0.3333333333333333
1150,324.3333333333333,0.6666666666666666,0.6666666666666666
1200,299.0,0.0,0.0
1250,303.6666666666667,0.0,0.0
1300,293.0,0.3333333333333333,0.3333333333333333
1350,304.3333333333333,0.0,0.0
1400,300.0,0.3333333333333333,0.3333333333333333
1450,284.0,0.0,0.0
1500,302.0,0.3333333333333333,0.3333333333333333
1550,237.0,0.0,0.0
1600,296.6666666666667,0.0,0.0
1650,322.6666666666667,0.3333333333333333,0.3333333333333333
1700,286.6666666666667,0.3333333333333333,0.3333333333333333
1750,280.6666666666667,0.0,0.0
1800,273.6666666666667,0.0,0.0
1850,281.6666666666667,0.3333333333333333,0.3333333333333333
1900,293.6666666666667,0.0,0.0
1950,262.3333333333333,0.0,0.0
2000,321.3333333333333,0.3333333333333333,0.3333333333333333
2050,322.0,0.3333333333333333,0.3333333333333333
2100,327.0,0.0,0.0
2150,313.0,0.0,0.0
2200,298.0,0.3333333333333333,0.3333333333333333
2250,285.6666666666667,0.0,0.0
2300,319.6666666666667,0.0,0.0
2350,343.3333333333333,0.6666666666666666,0.6666666666666666
2400,314.6666666666667,0.0,0.0
2450,330.6666666666667,0.3333333333333333,0.3333333333333333
2500,300.0,0.0,0.0
2550,316.3333333333333,0.3333333333333333,0.3333333333333333
2600,327.3333333333333,0.0,0.0
2650,351.6666666666667,0.6666666666666666,0.6666666666666666
2700,314.0,0.0,0.0
2750,334.3333333333333,0.3333333333333333,0.3333333333333333
2800,327.6666666666667,0.6666666666666666,0.6666666666666666
2850,294.0,0.0,0.0
2900,316.3333333333333,0.0,0.0
2950,352.0,0.6666666666666666,0.6666666666666666
3000,340.0,0.3333333333333333,0.3333333333333333
3050,343.6666666666667,0.3333333333333333,0.3333333333333333
3100,349.6666666666667,0.6666666666666666,0.6666666666666666
3150,358.0,1.0,1.0
3200,322.0,0.6666666666666666,0.6666666666666666
3250,334.0,0.0,0.0
3300,328.3333333333333,0.0,0.0
3350,330.6666666666667,0.6666666666666666,0.6666666666666666
3400,306.6666666666667,0.3333333333333333,0.3333333333333333
3450,315.3333333333333,0.0,0.0
3500,334.3333333333333,0.3333333333333333,0.3333333333333333
3550,312.0,0.0,0.0
3600,331.3333333333333,0.3333333333333333,0.3333333333333333
3650,339.6666666666667,1.0,1.0
3700,337.0,0.3333333333333333,0.3333333333333333
3750,355.6666666666667,0.6666666666666666,0.6666666666666666
3800,340.3333333333333,0.3333333333333333,0.3333333333333333
3850,336.6666666666667,0.3333333333333333,0.3333333333333333
3900,336.6666666666667,1.0,1.0
3950,343.3333333333333,0.3333333333333333,0.3333333333333333
4000,347.6666666666667,1.3333333333333333,1.3333333333333333
4050,339.0,0.3333333333333333,0.3333333333333333
4100,355.3333333333333,1.0,1.0
4150,343.3333333333333,0.6666666666666666,0.6666666666666666
4200,312.6666666666667,0.3333333333333333,0.3333333333333333
4250,345.0,0.3333333333333333,0.3333333333333333
4300,331.3333333333333,0.3333333333333333,0.3333333333333333
