Wall time,Step,Value
1651558208.369922,250,31.39583396911621
1651558214.407562,300,36.066993713378906
1651558236.878787,500,29.301706314086914
1651558242.270873,550,29.084331512451172
1651558254.342396,650,42.20309829711914
1651558261.195721,700,352.81036376953125
1651558266.887237,750,69.41168212890625
1651558278.24394,850,221.17828369140625
1651558284.816783,900,48.26846694946289
1651558289.464057,950,51.07945251464844
1651558295.680448,1000,33.01398468017578
1651558320.187731,1200,61.38130569458008
1651558370.961691,1650,204.31454467773438
1651558376.962129,1700,228.10569763183594
1651558387.592161,1800,87.51693725585938
1651558403.671199,1950,159.2984619140625
1651558410.324857,2000,164.14669799804688
1651558422.596231,2100,101.45823669433594
1651558434.210014,2200,224.59030151367188
1651558439.264198,2250,144.41180419921875
1651558451.948631,2350,241.6813507080078
1651558464.191506,2450,156.90040588378906
1651558470.028678,2500,333.4280700683594
1651558488.521785,2650,263.6060485839844
1651558494.892598,2700,64.42328643798828
1651558500.973324,2750,330.4997863769531
1651558507.564029,2800,450.26544189453125
1651558512.948419,2850,61.307525634765625
1651558531.954714,3000,171.88433837890625
1651558538.149459,3050,145.42715454101562
1651558551.622182,3150,384.3269348144531
1651558563.658512,3250,54.398590087890625
1651558570.414356,3300,53.09263229370117
1651558575.95273,3350,373.08758544921875
1651558582.253527,3400,276.9378967285156
1651558600.020461,3550,86.81549072265625
1651558606.784529,3600,152.6066436767578
1651558613.033906,3650,616.6038818359375
1651558619.90116,3700,128.1073455810547
1651558633.315172,3800,271.17059326171875
1651558651.658021,3950,161.06130981445312
1651558684.173355,4200,240.56004333496094
1651558690.191966,4250,185.26341247558594
1651558696.568434,4300,144.07884216308594
1651558702.974062,4350,187.95335388183594
1651558710.332455,4400,367.83868408203125
1651558716.805464,4450,596.005126953125
1651558750.227693,4700,490.0923156738281
1651558801.924044,5100,188.8103485107422
1651558822.451712,5250,626.5997924804688
1651558829.052409,5300,316.37982177734375
1651558872.52869,5650,315.7488098144531
1651558892.652519,5800,633.28076171875
1651558903.638027,5900,202.25657653808594
1651558910.318636,5950,602.2804565429688
1651558916.542076,6000,167.86978149414062
1651558941.067488,6200,195.43052673339844
1651558946.612537,6250,445.7146911621094
1651558954.790313,6300,665.8953247070312
1651558975.404603,6450,682.915771484375
1651558983.005443,6500,753.4755859375
1651559001.856346,6650,413.1929016113281
1651559028.235019,6850,666.1381225585938
1651559041.498982,6950,746.0169067382812
1651559054.240944,7050,306.89520263671875
1651559060.73248,7100,190.78311157226562
1651559067.019653,7150,393.87017822265625
1651559073.985885,7200,267.6709289550781
1651559097.49577,7400,471.3617858886719
1651559109.718781,7500,576.1171264648438
1651559129.288195,7650,566.8123168945312
1651559135.646639,7700,339.2879943847656
1651559141.422552,7750,342.3470458984375
1651559154.71239,7850,332.854248046875
1651559161.208122,7900,362.8081359863281
1651559167.907302,7950,688.27978515625
1651559186.901607,8100,366.2002868652344
1651559201.132058,8200,473.74267578125
1651559207.176351,8250,454.9887390136719
1651559222.260148,8350,792.1870727539062
1651559229.475158,8400,254.15350341796875
1651559248.361935,8550,944.3777465820312
1651559282.3795,8800,566.3582763671875
1651559289.53286,8850,1147.6968994140625
1651559296.127424,8900,514.3972778320312
1651559308.672149,9000,526.9141235351562
1651559313.793234,9050,458.8528137207031
1651559326.709771,9150,393.2312927246094
1651559339.086858,9250,549.3186645507812
1651559345.957366,9300,1195.8135986328125
1651559351.399155,9350,475.7121276855469
1651559358.213639,9400,861.3950805664062
1651559370.549554,9500,497.9830627441406
1651559376.524727,9550,596.1353149414062
1651559420.556663,9900,526.2982788085938
1651559445.017366,10100,552.8228149414062
1651559470.566055,10300,1084.8895263671875
1651559476.814699,10350,481.7462463378906
1651559482.923322,10400,613.6331787109375
1651559506.367705,10600,1047.129638671875
1651559524.108144,10750,927.6729125976562
1651559543.308422,10900,444.2317199707031
1651559549.334357,10950,617.181396484375
1651559568.281948,11100,853.4806518554688
1651559574.529845,11150,1058.8448486328125
1651559587.338949,11250,781.1124267578125
1651559593.520003,11300,856.458984375
1651559599.69445,11350,571.2188110351562
1651559611.987356,11450,973.8698120117188
1651559617.952087,11500,777.3096313476562
1651559630.257213,11600,768.0942993164062
1651559636.202839,11650,617.0462036132812
